899	Andrew Baynton
900	Andrew Beton
904	Andrew Boorde, Priest
907	Andrew Brereton
908	Andrew Brereton of Dublin
909	Andrew Bussy
910	Andrew Caroe
911	Andrew Clerk
912	Andrew De Ryma Sechei
913	Andrew Donaldson
914	Andrew Dudley
915	Andrew Facy
916	Andrew Fulforde, Captain of Sir Walter Raleigh's ship called the Jobe, and Thomas Raynforde, Captain of the Lion of Viana
918	Andrew Hilton
919	Andrew Hunter
920	Andrew Kerr, of Farnyhirst
921	Andrew Leitch
922	Andrew Leslie of New Leslie
923	Andrew Lord Ochiltree
924	Andrew Lord Wyndesore
925	Andrew Luttrell
926	Andrew Malory
927	Andrew Martin
930	Andrew Melville
931	Andrew Menesse, Mayor of Sandwich
932	Andrew Mowatt
933	Andrew Nedham
934	Andrew Osiander
935	Andrew Palmer
936	Andrew Parsoun
937	Andrew Perne
938	Andrew Powell
939	Andrew Sawer and Theobald Grummer
940	Andrew Scarre
941	Andrew Skiddy
947	Andrew Smythe
948	Andrew Sperke
949	Andrew Studley mayor of Southampton
951	Andrew Tremayne
953	Andrew Trollopp
954	Andrew White
955	Andrew Wise
959	Andrew [Scheiner]
960	Andrew ap Howell and Harry Lloyd
963	Andrewe Judde
965	Andrieu Lanaine, innkeeper at Andreselles
967	Andro Roche
969	Angelo Agolanti
970	Angelo Mariano
971	Angelo Marie
972	Angiolo De Milanesi
973	Angus Ileaghe
974	Angus M'Donnell
975	Angus McConnell, Lord of Cantire
976	Angus and Others
978	Ann Bannister
980	Ann FitzSymons
982	Anna Campbell
983	Anna Cathrine, Queen of Denmark
984	Anna Keith, Countess of Murray
986	Anna Lock
987	Anna Palavicino
989	Anna, Countess of Oldenburg
990	Anna, Duchess of Saxony
991	Annas Ellder
993	Anne Barneys
994	Anne Basset
996	Anne Bland
997	Anne Brooke, Lady Cobham
998	Anne Bulmere
999	Anne Butland
1000	Anne Cecil
1001	Anne Cooke
1002	Anne Countess of Arundel
1004	Anne Countess of Bothwell
1006	Anne Countess of Oxford
1007	Anne Countess of Warwick
1010	Anne Dowager Lady Berkeley
1012	Anne Duc De Joyeuse
1013	Anne Duchess of Somerset
1015	Anne Edmondes
1017	Anne Goring
1018	Anne Herdson
1019	Anne Hilles, late wife of John Copland
1020	Anne Horseman
1021	Anne Ingleby
1022	Anne Knight
1025	Anne Lady Conyers
1026	Anne Lady Hopton
1030	Anne Lady de Vere
1032	Anne Leake
1033	Anne Mannocke
1034	Anne Owen
1035	Anne Persson
1036	Anne Queen of France
1040	Anne Rouaud, Madame du Bours
1041	Anne Shelton
1042	Anne Stowghton
1043	Anne Thewles
1044	Anne Thickpenny
1045	Anne Vernon
1046	Anne Weston
1048	Anne Williamson
1050	Anne [Lingen]
1052	Anne d'Este, Duchesse de Nemours
1053	Anne de Coligny
1054	Anne de Lorraine
1057	Anne de Montmorency, Duc de Montmorency
1059	Anne of Austria
1061	Anne of Denmark
1062	Anne, Countess of Arundel
1069	Anne, Lady Cobham
1070	Anne, Lady Cornwaleys
1071	Anne, Lady Dacre
1072	Anne, Lady Fitzwilliam
1073	Anne, Lady Glemham
1074	Anne, Lady Hastings
1075	Anne, Lady Herbert
1077	Anne, Lady Hungerford
1078	Anne, Lady Nevill
1079	Anne, Lady Russell
1080	Anne, Lady Wentworth
1081	Anne, widow of Christopher Lansdale, of Hackney, co. Middlesex
1084	Annes Dode
1085	Annes Upton
1089	Anon
1091	Another Friar
1092	Another bill for Mr. Baly, noted Pay
1093	Anphelys Newdegatte
1096	Hoogstraeten mutineers
1099	Ant Watts
1102	Ant. Becker
1105	Ant. Cardinal St. Quatuor
1106	Ant. Chambers
1113	Ant. Marie Marquis Palvesin
1114	Ant. Masson
1118	Ant. Regnaud
1124	Ant. Suriano, Venetian Ambassador
1125	Ant. Totes
1126	Ant. Tracy
1129	Ant. de Sailly
1135	Anth. Doughtie
1136	Anth. Inge
1140	Anth. van Zurch
1141	Anthoine
1143	Anthoine Brusset
1144	Anthoine Chocquart
1146	Anthoine Oliver
1147	Anthoine Perrenot
1148	Anthoine Portman
1150	Anthoine de Calonne
1151	Anthoine de Crequy, [Sieur de Pontdormy]
1152	Anthoine de Helfault
1154	Anthoine de Ligne (Count Fauconberg)
1157	Anthoine du Baille
1158	Anthoine du Val
1159	Anthoinette De Saveuses
1169	Anthonie Dent
1170	Anthonie de ---
1173	Anthonio de Guaras
1174	Anthonius De Berghes
1176	Anthony Abbot of Eynsham
1177	Anthony Abbot of Heyles
1178	Anthony Ager
1179	Anthony Andrewes
1180	Anthony Anthony
1181	Anthony Appulby
1182	Anthony Asheley
1183	Anthony Atkinson
1186	Anthony Babington
1187	Anthony Backler
1188	Anthony Bacon
1189	Anthony Barker
1190	Anthony Barwis
1192	Anthony Bassets
1193	Anthony Beeley
1194	Anthony Birkes
1201	Anthony Boner
1202	Anthony Bonneville
1209	Anthony Bourchier
1210	Anthony Bourchier's Wife
1211	Anthony Bourne
1214	Anthony Brabazon
1215	Anthony Brakynbery
1216	Anthony Brasavola
1217	Anthony Brekenbury
1218	Anthony Bridgeman (of Michell Deane, in the county of Gloucester)
1219	Anthony Brome
1220	Anthony Browne, Viscount Montagu
1221	Anthony Brydges
1222	Anthony Budgegode
1224	Anthony Bynne
1225	Anthony Cage, Sheriff of Huntingdon
1226	Anthony Carsydony
1227	Anthony Cavallary
1228	Anthony Cave
1229	Anthony Chewte
1231	Anthony Colcloght
1233	Anthony Colcloght of Tintern, Co Wexford
1235	Anthony Collens
1236	Anthony Colley
1239	Anthony Cooke
1240	Anthony Coope
1241	Anthony Cotton
1243	Anthony Crewes
1244	Anthony Crompton
1245	Anthony Dawtrey
1248	Anthony Denny, of the Privy Chamber
1253	Anthony Driland
1254	Anthony Duke of Lorraine
1255	Anthony Dunryche
1256	Anthony Enowes
1258	Anthony Ersfild
1259	Anthony Felton
1260	Anthony Fitzherbert
1261	Anthony Forrest
1262	Anthony Fox
1263	Anthony Fugger
1264	Anthony Fyldinge
1266	Anthony Girald
1267	Anthony Guydott
1268	Anthony Hamond and John Donyngton
1269	Anthony Hamyllton
1271	Anthony Higgons
1273	Anthony Hinton
1274	Anthony Hode
1275	Anthony Holt
1276	Anthony Honye and Roger Norwood
1278	Anthony Hungerford
1279	Anthony Hungerford, Sheriff of Gloucester
1281	Anthony Huse
1282	Anthony Irby
1283	Anthony Jebb
1285	Anthony Jenkinson
1289	Anthony Joyner
1290	Anthony Kemis
1291	Anthony Kempe
1292	Anthony Kynnersley of Ridware, co. Stafford
1293	Anthony Latham
1294	Anthony Lee
1295	Anthony Loe
1297	Anthony Lord Mountague
1298	Anthony Low
1300	Anthony Maryot
1301	Anthony Mason
1302	Anthony May
1304	Anthony Moon
1305	Anthony Morgan
1307	Anthony Nicolles, high constable
1308	Anthony Painter
1309	Anthony Parkhurst
1310	Anthony Parsons
1311	Anthony Paulet
1312	Anthony Payneter
1313	Anthony Pembruge
1314	Anthony Peppard and his Mother
1317	Anthony Perrenin, Secretary of State to the Emperor
1318	Anthony Potts
1320	Anthony Power
1321	Anthony Poyntz
1322	Anthony Pygott
1323	Anthony Pykeryng
1327	Anthony Reynolds
1328	Anthony Roke
1329	Anthony Rolston
1330	Anthony Rous
1331	Anthony Rouse
1335	Anthony Rudde, Bishop of St. David's
1336	Anthony Rynkon
1338	Anthony Sawnder
1340	Anthony Sentleger
1342	Anthony Skritt
1343	Anthony Smyth
1345	Anthony Spinelly
1347	Anthony Standbarck, mayor of Bristol
1348	Anthony Standen
1352	Anthony Stibbyng
1353	Anthony Stoughton
1354	Anthony Strelley
1355	Anthony Strynger
1356	Anthony Styleman
1357	Anthony Thrope, prisoner in Newgate
1358	Anthony Todd and Robert Thomas
1360	Anthony Tyrell
1365	Anthony Wardman
1366	Anthony Watson
1368	Anthony Wesfutyws
1369	Anthony White
1371	Anthony Whyt
1373	Anthony Wingfield
1377	Anthony d&#x0027;Arques
1380	Anthony de la Fayette
1381	Anthony de la Rue
