#PLACE_ID	PLACE_LABEL
830	Bony on the Loire
831	Borchloen
832	Bordaiziere
833	Bordeaux
834	Bordesley
835	Borestall
836	Borgerhout
837	Borgo St. Domino
838	Borkum
839	Borman
840	Boroughbridge
841	Borscomb
842	Borsele, in South Beveland
843	Borthwick
844	Borton
845	Bosseham
846	Bossy
847	Boston
848	Bosumaris
849	Boswell
850	Bosworth
851	Bothal
852	Bothal Castle
853	Bothwell
854	Boton
855	Bottell
856	Bottes
857	Bottyllay
858	Bouchain
859	Bouches
860	Boughton
861	Boulloyn
862	Boulogne
863	Boulogne (Bologna)
864	Boulogne Castle
865	Boulogne Road
866	Boulogne under siege
867	Boulogneberg
868	Boulston
869	Bourbon
870	Bourbon L'Archambault
871	Bourbonnes
872	Bourbourg
873	Bourg en Bresse
874	Bourges
875	Bourgneuf between laval and Vitr&#x00E9;
876	Bourgogne
877	Bourgos
878	Bourgueil
879	Bourne
880	Bours
881	Bousleduck
882	Bowcastell
883	Bowe Lane [Cheapside]
884	Bowes
885	Bowley
886	Bowrdes
887	Bowton
888	Bowtoun
889	Boxgrave
890	Boxley
891	Boxleye
892	Boyle
893	Boyle; Athlone
894	Bradenham
895	Bradenstoke
896	Bradfield
897	Bradgate
898	Bradham
899	Bradley
900	Bradly
901	Bradstoke
902	Bradwell
903	Bragberie
904	Brainspethe
905	Braintree
906	Brame
907	Brampton
908	Bramston
909	Brancepeth
910	Brandenburg
911	Brandysbye
912	Branston
913	Brantingham
914	Braswell
915	Brauncepeth
916	Braunton
917	Bray
918	Bray-sur-Seine
919	Braynford
920	Brayuforde
921	Breame
922	Brechin
923	Brecknock
924	Brecon
925	Breda
926	Bredevoort
927	Bredgate
928	Bredwardyn
929	Bregis
930	Bremen
931	Brenny
932	Brentford
933	Brentwood
934	Brereton
935	Breslau
936	Breslau (Wrocklaw)
937	Bresle
938	Brest
939	Brestia in Lithuania
940	Bretaynes (Brittany?)
941	Breteuil
942	Bretwell
943	Breuern
944	Brewreton
945	Brewton
946	Bricken
947	Brickhill
948	Bridewell
949	Bridgenorth
950	Bridges
951	Bridgetown
952	Bridgewater
953	Bridlington
954	Bridport
955	Bridwell
956	Brie-Comte-Robert
957	Briere
958	Brighen
959	Brightwell
960	Brightwell (Breteuil)
961	Brignole
962	Brigstock
963	Brill
964	Brington
965	Brionne
966	Briouse
967	Bristol
968	Bristow
969	Bristowe
970	Britanny
971	Brittens
972	Brittens, in Essex
973	Brixia
974	Broad Street
975	Brockenhurst
976	Brocket Hall
977	Brockeworth
978	Brockland
979	Brodeham
980	Brodmerston
981	Broke
982	Brokenwhaffe
983	Brokett Hall
984	Brome
985	Bromeham
986	Bromehill
987	Bromer
988	Bromham
989	Bromley
990	Brondysche
991	Brou
992	Brou in Perche
993	Brouck
994	Brougham Castle
995	Broughton
996	Broughty
997	Broughty Castle
998	Broughty upon Tay
999	Broxbourne
1000	Brucelles
1001	Bruckberg
1002	Bruges
1003	Brumham
1004	Brunstone
1005	Brunswick
1006	Brussells
1007	Brussels
1008	Brussels in Brabant
1009	Brussels; Calais
1010	Bruton
1011	Bruxelles
1012	Bruxells
1013	Bruxels
1014	Bryckhill
1015	Bryell
1016	Bryenston
1017	Bucckenham
1018	Buchoven
1019	Buchy
1020	Buckden
1021	Buckenhill
1022	Buckestones
1023	Buckholt
1024	Buckhurst
1025	Buckhurst House
1026	Buckingham
1027	Buckland
1028	Buda
1029	Budeley
1030	Bueren
1031	Bugbye
1032	Bugden
1033	Buhy
1034	Bulduke
1035	Buldwyke
1036	Bull
1037	Bullen
1038	Bullerwell
1039	Bullington
1040	Bulloigne
1041	Bulston
1042	Bulwick
1043	Bunawe
1044	Bunckes
1045	Bungay
1046	Bunratty
1047	Buntingforde
1048	Burbarough
1049	Burbastro
1050	Burborough
1051	Burborow
1052	Burburg
1053	Burdoyse
1054	Burford
1055	Burford-on-the-Wold
1056	Burges in Bary
1057	Burgh, in Westmoreland
1058	Burghley
1059	Burghley House
1060	Burghley House, Strand
1061	Burghley's House
1062	Burghley's House in the Strand
1063	Burghley's House, The Strand
1064	Burghley's house near the Savoy
1065	Burgklenngfeld
1066	Burgos
1067	Burlegh
1068	Burleigh House
1069	Burley
1070	Burley Park
1071	Burly
1072	Burne
1073	Burnham
1074	Burntisland [Bruntisland]
1075	Burradon
1076	Burrowbrige
1077	Burthes
1078	Burton
1079	Burton Abbey, Yorkshire
1080	Burton Agnes
1081	Burton Jorce
1082	Burton-on-Trent
1083	Burton-upon-Trent
1084	Bury
1085	Bury St. Edmunds
1086	Bury gaol
1087	Bushopburton
1088	Busk in Brabant
1089	Buske
1090	Busse
1091	Busshemede
1092	Butley
1093	Butley Abbey
1094	Buttevant
1095	Buxton
1096	By Arques
1097	By Aruqes
1098	By the Tower of London
1099	Bybrak in Swabe
1100	Bycot
1101	Byddynden
1102	Byencourt
1103	Byfleet
1104	Byfleet Lodge
1105	Byland
1106	Bylbow
1107	Byllemont
1108	Byllyngtown
1109	Byndon
1110	Byng (Bingen)
1111	Bynkes
1112	Byres
1113	Byrkyn
1114	Bysham
1115	C&#x00F6;ln on the Spree
1116	Cadahalso
1117	Cadbury
1118	Cadillac
1119	Cadiz
1120	Cadlay
1121	Caelte Rowe
1122	Caen
1123	Caerlion
1124	Caermarthen
1125	Caerum
1126	Cafra
1127	Cahir
1128	Cahir Dowgan
1129	Caietae
1130	Cairney
1131	Cairney in Fife
1132	Caishio
1133	Calais
1134	Calais (Calles)
1135	Calais Castle
1136	Calais and Guines
1137	Calais; Greenwich
1138	Calais; Middleburg
1139	Calais; Mydelborge
1140	Calays
1141	Calder
1142	Caldstreme
1143	Cales
1144	Calias Road
1145	Callais
1146	Callan
1147	Caller
1148	Calles
1149	Calmar
1150	Calne
1151	Caloughdon
1152	Calsey
1153	Camberag
1154	Cambermer
1155	Cambermere
1156	Camberwell
1157	Cambleford
1158	Cambrai
1159	Cambray
1160	Cambresey
1161	Cambridge
1162	Cambridge University
1163	Cambridge; Lambeth
1164	Cambuskenneth
1165	Camerino
1166	Camfer
1167	Caminha
1168	Cammerstain
1169	Cammowe
1170	Camp
1171	Camp Castle of Eniskey
1172	Camp Han-sur-Somme
1173	Camp [Kinsale]
1174	Camp [before Kinsale]
1175	Camp above Casale
1176	Camp above Marseilles
1177	Camp at &#x00C9;pernay
1178	Camp at Adare
1179	Camp at Aghnelucher
1180	Camp at Alkynes
1181	Camp at Anagni
1182	Camp at Anglefountaine
1183	Camp at Arde
1184	Camp at Asper
1185	Camp at Auneau
1186	Camp at Avarot
1187	Camp at Ballinacor
1188	Camp at Ballyarthur
1189	Camp at Beaulieu
1190	Camp at Bellac
1191	Camp at Bellaneloobe
1192	Camp at Bislicq
1193	Camp at Blackwater
1194	Camp at Blandicke beyond St. Omer
1195	Camp at Blangy
1196	Camp at Boulogne
1197	Camp at Briare
1198	Camp at Brymew
1199	Camp at Bullen
1200	Camp at Capelle
1201	Camp at Cappy
1202	Camp at Carrickbane
1203	Camp at Carrigafoyle
1204	Camp at Caskales
1205	Camp at Castle Iredayne
1206	Camp at Cawkewell
1207	Camp at Cerny
1208	Camp at Champs
1209	Camp at Clonmanyn by West Clonmel
1210	Camp at Comber
1211	Camp at Conge
1212	Camp at Coulonges
1213	Camp at Crozon fort
1214	Camp at Dessay
1215	Camp at Dives
1216	Camp at Donanuray
1217	Camp at Dor&#x00E9;e
1218	Camp at Dorlaunce
1219	Camp at Dreux
1220	Camp at Dunboy
1221	Camp at Dunluce
1222	Camp at Dunomoyne
1223	Camp at Dunore
1224	Camp at Elton
1225	Camp at Enniskillen
1226	Camp at Fiennes
1227	Camp at Fyence
1228	Camp at Ghisterni
1229	Camp at Grossoeuvre, near Evreux
1230	Camp at Hambletewe
1231	Camp at Hambletu
1232	Camp at Hamultu
1233	Camp at Hen
1234	Camp at Hern&#x00E9;e
1235	Camp at Hughnesceaughe
1236	Camp at Kelso
1237	Camp at Killagh
1238	Camp at Kilmingham
1239	Camp at Kilmoghan, within four miles of the Newry
1240	Camp at Kinlaghe
1241	Camp at Landerneau
1242	Camp at Laon
1243	Camp at Lattnehure
1244	Camp at Lauingen
1245	Camp at Locrenam
1246	Camp at Loghinghen
1247	Camp at Lottingham
1248	Camp at Loue
1249	Camp at Lough Beleek
1250	Camp at Mahary le hyere
1251	Camp at Marseilles
1252	Camp at Montreul
1253	Camp at Morgyson
1254	Camp at Mounstrell
1255	Camp at Moymely
1256	Camp at Moynney
1257	Camp at New Haven
1258	Camp at New Haven in Bullonoys
1259	Camp at Neweastle in Conelagh
1260	Camp at Nice
1261	Camp at Norborne
1262	Camp at Odenford
1263	Camp at Ommen
1264	Camp at Platt&#x00E9;
1265	Camp at Plessis
1266	Camp at Quessoy
1267	Camp at Rathdram
1268	Camp at Rathdrum
1269	Camp at Rochfordstown
1270	Camp at Sabloneta
1271	Camp at Saint Digier
1272	Camp at Sardon
1273	Camp at Smerwick
1274	Camp at St. Arnoul
1275	Camp at St. Desir
1276	Camp at St. Eloy
1277	Camp at St. Marie, Wavres
1278	Camp at Toom
1279	Camp at Toome
1280	Camp at Tullagh
1281	Camp at Villefranche
1282	Camp at Villesalmon
1283	Camp at Warkeshaughe
1284	Camp at Whitesand
1285	Camp at Whitesand Bay
1286	Camp at [M]ounstre[ll]
